m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
104,설국열차,1986년 앙굴렘 국제만화제에서 그랑프리를 받은 프랑스 SF만화 '설국 열차'를 영화로 봉준호 감독이 제작할 프로젝트. 원작은 냉전시대 갑작스런 기온 강하로 혹독한 추위가 닥친 지구를 배경으로 난방과 식량자급이 가능한 설국 열차만이 유일한 생존처가 되는 설정을 갖고 있다. 정치인과 유명 인사가 탑승한 객차는 술과 마약까지 난무하지만 일반 시민들의 객차는 식량을 구하기 위해 아우성치는 독특한 사회적 메시지도 담고 있다.,1.9,125,3,봉준호
105,세 얼간이,웃다가 울리고 울리면서 웃기는 인도산 초특급 코미디. 인도의 송강호라 할 만큼 흥행작과 수상작을 줄줄이 배출한 아미르 칸이 주인공 란초를 연기한다. 행방이 묘연해진 대학 동창 란초를 찾아나선 두 친구가 겪게 되는 여행담을 따라가면서 현재 인도 사회가 마주친 다양한 이슈를 다룬다. 문제의 골은 깊지만 인도영화 특유의 춤과 노래로 긍정의 힘을 전파한다. 인도 개봉 당시 개봉 주말 박스오피스 기록을 갱신한 흥행작이다.,5,141,2,라즈쿠마르 히라니
106,라라랜드,황홀한 사랑 순수한 희망 격렬한 열정…\n이 곳에서 모든 감정이 폭발한다!\n\n꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’.\n재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤)\n인생에서 가장 빛나는 순간 만난 두 사람은\n미완성인 서로의 무대를 만들어가기 시작한다.,3.6.17,127,2,데이미언 셔췐
107,센과 치히로의 행방불명,치히로는 터널을 지나는 중 우연히 인간 세계와 다른 환상의 세계로 들어선다.\n\n이곳엔 온갖 신들과 괴물과 도깨비들이 가득하며 모든 병을 치료하는 마법의 온천이 있다. 인간인 치히로가 이곳에 머물기 위해선 두 가지 조건을 따라야만 한다. 첫째 온천수를 관장하는 유바바라는 성질 고약한 마녀의 일을 도울 것 둘째 치히로라는 이름과 함께 인간으로 사는 것을 포기할 것.\n\n그 결과 치히로는 센이라는 새로운 이름을 받게 되고 온갖 친구들을 만나며 신나는 모험을 계속하는데...,2.11.12.13,126,1,미야자키 하야오
108,셔터 아일랜드,누군가 사라졌다\n\n보스턴 셔터아일랜드의 정신병원에서 환자가 실종되는 사건이 발생한다. 연방보안관 테디 다니엘스(레오나르도 디카프리오)는 수사를 위해 동료 척(마크 러팔로)과 함께 셔터아일랜드로 향한다. 셔터 아일랜드에 위치한 이 병원은 중범죄를 저지른 정신병자를 격리하는 병동으로 탈출 자체가 불가능하다. 하지만 자식 셋을 죽인 혐의를 받고 있는 여인이 이상한 쪽지만을 남긴 채 감쪽같이 사라지고 테디는 수사를 위해 의사 간호사 병원관계자 등을 심문하지만 모두 입이라도 맞춘 듯 꾸며낸 듯한 말들만 하고 수사는 전혀 진척되지 않는다. 설상가상 폭풍이 불어 닥쳐 테디와 척은 섬에 고립되게 되고 그들에게 점점 괴이한 일들이 일어나기 시작한다.,3.7.10,138,3,마틴 스코세이지
109,셜록 홈즈,CHAPTER1. 세기의 명탐정_“범죄는 흔하다. 그러나 논리는 흔치 않다” 셜록 홈즈(로버트 다우니 주니어) 천재적인 추리 능력과 주먹의 힘까지 갖추고 친구 왓슨 박사(주드 로)와 함께 치밀하게 얽힌 미스터리 속에서 진실을 찾아내는 명탐정. 그에게 이제껏 경험하지 못했던 최대의 위협이자 지금껏 그토록 갈구했던 진정한 모험이 몰려오고 있었다.\n\nCHAPTER2. 예고된 살인_“홈즈 당신과 나는 자연 법칙을 뒤집어 놓을 여정에 올랐소”다섯 명의 여인들이 종교 의식의 제물로 끔찍하게 살해되는 사건이 잇따라 발생하고 홈즈와 왓슨은 간발의 차이로 마지막 희생자가 될뻔한 여인을 구한다. 범인은 비밀 종교집단 소속의 블랙우드(마크 스트롱). 붙잡힌 블랙우드는 사형 집행일이 다가올수록 강력한 어둠의 힘을 발휘하고 자신의 죽음은 계획의 일부에 지나지 않는다며 홈즈에게 경고한다.\n\nCHAPTER3. 죽은 자의 부활_“증거 없는 이론은 위험하네. 사실을 이론에 맞추려 들테니” 블랙우드의 경고는 현실로 나타나고 죽었던 그의 부활은 도시 전체를 공포 속에 몰아넣는다. 그러나 이것은 홈즈에게는 게임의 시작일 뿐. 블랙우드의 치명적인 음모를 저지하기 위해 홈즈와 왓슨은 고대의 신비한 주술과 현대의 경이로운 신기술이 혼재한 세계로 뛰어든다.\n\nCHAPTER4. 진정한 목적_“가장 사소한 단서가 가장 중요한 증거가 되는 법이지”그러나 홈즈가 해결해야 할 것은 사건만이 아니었다. 그의 앞에 헤어진 연인 아이린(레이철 맥아담스)이 등장해 적인지 아닌지 모호한 행동으로 그를 더욱 혼란에 빠뜨린다.\n\n한편 최강의 콤비 플레이로 사건을 파헤치던 홈즈와 왓슨은 단서들이 공통의 연결고리로 어떤 징후를 나타낸다는 것을 발견하고 이것이 세상을 파멸시킬 거대한 음모였음을 알게 되는데… 정확한 논리를 무기로 일격의 주먹을 방어막으로 세상을 구할 홈즈의 추리가 시작된다!,4.10.12,128,2,가이 리치
110,소셜 네트워크,2004년 첫 투자금 단돈 1천 달러\n서비스 오픈 첫날 가입자수 650명\n하버드대 학생들의 소규모 커뮤니티\n코딩밖에 모르는 너드(Nerd) 마크 주커버그\n\nVS\n\n2021년 기업가치 1조 달러 돌파\n전 세계 가입자수 약 28억 명\n미국을 이끄는 최고의 5대 빅테크 기업\n세계 10대 자산가 마크 주커버그\n\n“페이스북”의 첫 시작 그에 대한 모든 것.,3,120,3,데이빗 핀처
111,쇼생크 탈출,두려움은 너를 죄수로 가두고 희망은 너를 자유롭게 하리라\n\n촉망 받던 은행 부지점장 ‘앤디(팀 로빈슨 分)’는 아내와 그 애인을 살해한 혐의로 종신형을 받고 쇼생크 교도소에 수감된다.\n강력범들이 수감된 이곳에서 재소자들은 짐승 취급 당하고 혹여 간수 눈에 잘못 보였다가는 개죽음 당하기 십상이다.\n처음엔 적응 못하던 ‘앤디’는 교도소 내 모든 물건을 구해주는 ‘레드(모건 프리먼 分)’와 친해지며 교도소 생활에 적응하려 하지만 악질 재소자에게 걸려 강간까지 당한다.\n그러던 어느 날 간수장의 세금 면제를 도와주며 간수들의 비공식 회계사로 일하게 되고 마침내는 소장의 검은 돈까지 관리해주게 된다.\n덕분에 교도소 내 도서관을 열 수 있게 되었을 무렵 신참내기 ‘토미(길 벨로우스 分)’로부터 ‘앤디’의 무죄를 입증할 기회를 얻지만 노튼 소장은 ‘앤디’를 독방에 가두고 ‘토미’를 무참히 죽여버리는데...,3,142,1,프랭크 다라본트
112,쉰들러 리스트,시대와 맞선 위대한 용기\n그곳에 사람이 있었다\n\n1939년 독일에게 점령당한 폴란드의 한 도시.\n독일인 사업가이자 냉정한 기회주의자인 오스카 쉰들러는\n유태인이 경영하는 그릇 공장 인수를 위해 수단과 방법을 아끼지 않는다.\n인건비 없이 수백명의 유태인을 고용한 오스카 쉰들러는\n우연히 유태인 회계사인 스턴과 가까워지고\n나치에 의해 참혹하게 학살되는 유태인들의 참혹한 실상을 마주하게 된다.\n서서히 그의 양심이 흔들리기 시작하고\n마침내 강제 노동 수용소로부터 유태인들을 구하기로 결심한다.\n그렇게 그는 자신이 구해낼 유태인 명단이 적힌 쉰들러 리스트를 만드는데...\n\n지금 우리가 꼭 보아야 할 영화\n쉰들러 리스트,3.14.15,196,3,스티븐 스필버그
113,슈퍼배드 2,3년 전 ‘달’을 훔쳤던 전설의 슈퍼 악당 ‘그루’!\n새로운 파트너와 함께 세상을 구할 영웅이 되어 은밀하게 위대하게 컴백!\n슈퍼 악당에서 딸바보 슈퍼 대디로 180도 변신한 ‘그루’는\n수다스럽고 사랑스러운 세 딸 ‘마고’ ‘에디스’ ‘아그네스’와 함께 행복한 삶을 살고 있다.\n\n하지만 세상을 지배하려는 최강 악당 군단이 나타나자\n이들을 상대할 유일한 슈퍼 악당 ‘그루’가 비밀 요원으로 ‘악당 소탕 작전’에 투입된다.\n매력적인 파트너 ‘루시’와 함께 스펙타클한 임무를 수행하던 중\n미니언 군단까지 공격을 받아 ‘보라 미니언’으로 변하고 마는데..!,2,98,1,크리스 리노드
114,슈퍼배드 3,올 여름 전 세계를 점령할 놈들이 온다!\n\n최고의 악당만을 보스로 섬기는 ‘미니언’\n가족을 위해 악당 은퇴를 선언한 ‘그루’\n\n그루의 배신에 실망한 미니언들은\n스스로 악당이 되기 위해 그루를 떠난다.\n\n한편 같은 얼굴 다른 스펙의 쌍둥이 동생 ‘드루’의 등장으로 인해\n그루는 자신이 역사상 가장 위대한 악당 가문의 후예임을 알게 되고\n거부할 수 없는 슈퍼배드의 운명을 따르게 되는데…\n\n돌아온 그루와 미니언들은\n다시 함께할 수 있을까?,2,89,1,피에르 꼬팽
115,비긴 어게인,“다시 시작해 너를 빛나게 할 노래를!”\n\n싱어송라이터인 ‘그레타’(키이라 나이틀리)는\n남자친구 ‘데이브’(애덤 리바인)가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다.\n그러나 행복도 잠시 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리\n스타가 된 데이브의 마음은 어느새 변해버린다.\n\n스타 음반프로듀서였지만 이제는 해고된 ‘댄’(마크 러팔로)은\n미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다.\n거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…,6,103,3,존 카니
116,스쿨 오브 락,록 밴드 단원인 듀이 핀은 로커답지 않게 뚱뚱하고 촌스러운 외모와 공연도중 돌발적인 행동 때문에 밴드에서 쫓겨 난다. 초등학교 보조교사로 일하는 친구의 집에 얹혀살다 월세까지 밀려 돈이 필요하던 순간 친구의 이름을 사칭하고 초등학교에 취직한다. 음악 밖에 모르던 듀이는 수업대신 학생들과 함께 밴드를 결성하고 경연대회에 출전하려고 하는데……,5,109,2,리차드 링클레이터
117,스타워즈: 깨어난 포스,새로운 전설이 시작된다!,1.11.12,135,2,J.J. 에이브럼스
118,스타워즈: 라스트 제다이,선과 악의 전쟁 거대한 운명이 결정된다!\n\n악의 세력인 무자비한 ‘퍼스트 오더’가 은하계를 장악한 시대.\n레아 장군이 이끄는 저항군은 승리의 불씨를 지필 마지막 희망을 찾아 ‘레이’를 과거의 영웅 ‘루크’에게 보낸다.\n루크를 통해 자신 안에 잠들어 있던 특별한 힘을 깨닫게 된 레이는 뜻밖에 퍼스트 오더의 실세 ‘카일로 렌’과도 교감하게 되는데…\n\n누가 빛이고 누가 어둠이 될 것인가?\n지금 선과 악의 운명을 건 거대한 전쟁이 시작된다!,1.9.11.12,151,2,라이언 존슨
119,스타워즈: 에피소드1 보이지 않는 위험,"고요하고 평화롭던 은하계에 내분이 일기 시작한다. 은하계 외곽 지역 무역권을 놓고 분쟁이 일기 시작한 것이다. 이로 인하여 은하계는 순식간에 전쟁의 위험에 놓인다. 은하계의 무역 항로를 장악하려던 무역 집단은 전투함을 출격시켜 '아미달라' 여왕의 고향인 나부 행성을 고립시킨다. 은하계 원로 회의는 평화를 지키기 위해 '퀴곤 진'과 '오비완 케노비' 두 제다이를 분쟁 지역에 파견하기로 결정한다. 퀴곤 진은 우주선을 수리하기 위해 '타투 인' 행성에 들리고 이때 타투 인 행성의 노예 구역에서 살고 있는 아나킨 스카이워커라는 소년을 만나게 된다. 퀴곤 진은 8세의 아나킨에게서 강력한 포스의 힘을 느끼고 아나킨만이 미래의 은하계를 구할 수 있는 인물이라 믿으며 함께 데리고 간다. 한편 나부 행성이 침입을 받자 아미달라 여왕은 퀴곤 진에게 도움을 청한다. 하지만 당시 은하계의 질서를 유지하기 위해 설립된 원로 회의는 힘을 상실한 상태였고 나부 행성은 위험에 처한다. 퀴곤 진은 무역 집단의 우두머리 ""다스 몰'과의 전투에서 사망하지만 결국 아미달라 여왕에 의해 무역 집단은 일망 타진 된다. 은하계 원로 회의 의장으로 선출 된 세니트 행성의 팰퍼타인과 협정에서 평화를 약속 받은 아미달라 여왕은 나부 행선으로 돌아가고...",1.9.11.12,133,1,조지 루카스
120,스탠 바이 미,오레곤주의 작은 마을 캐슬록. 섬세한 성격으로 문학에 소질이 있는 고디(Gordie Lachance: 윌 위턴 분) 알콜 중독인 아버지 밑에서 갑갑한 생활을 하지만 타고난 리더쉽으로 동네 꼬마들을 지휘하는 크리스(Chris Chambers: 리버 피닉스 분) 2차대전 중의 영웅이었던 아버지를 존경하는 열정의 소년 테디(Teddy Duchamp: 코리 펠드만 분) 착한 꼬마 뚱보 벤(Vern Tessio: 제리 오코넬 분)은 이 마을에서 사는 단짝 친구들인데. 어느 날 벤은 패거리들에게 며칠 전 행방불명된 소년의 시체가 저멀리 숲속에 있다는 소식을 전해준다. 만약 시체를 찾아낸다면 마을의 영웅이 되는 것. 네 명의 소년은 호기심과 모험심을 억누르지 못하고 숲을 향해 여행을 떠난다. 캐슬록의 울타리 밖이라고는 구경도 하지 못한 그들에게 이 여행은 미지의 세계를 향한 첫경험이었다. 몸도 마음도 피곤하기만 했던 이틀간의 여행을 마친 뒤 그들이 찾아낸 것은 시체뿐만이 아니었다. 눈으로 확인할 수는 없지만 ‘성장’이라는 고귀한 열매를 얻었던 것이다. 적당히 불량하고 또 적당히 착한 네명의 소년이 겪는 경험은 그들만의 추억이 된다.,3.12,87,3,롭 라이너
